sdt_name,sdt_team,priors_ref_name
Ben White,Arsenal,Benjamin White
Charly Alcaraz,Everton,Carlos Alcaraz Durán
Savinho,Manchester City,Sávio Moreira de Oliveira
Beto,Everton,Norberto Bercique Gomes Betuncal
Costinha,Brighton and Hove Albion,João Pedro Loureiro da Costa
Juan Luis Sanchez Velasco,Bournemouth,Juanlu Sánchez
Josep Maria Chavarria Perez,Chelsea,Pep Chavarría
Temitayo Olufisayo Olaoluwa Aina,Nottingham Forest,Ola Aina
