fpl_code,team,player,pos,cost,13,14,15,16,17,18,20,21,total_pts,ppm
158499,BOU,Christie,M,2.4,0.0,0.0,0.0,0.0,2.06,3.44,1.68,1.8,8.98,3.74
223336,SUN,Neil,M,2.2,0.54,0.37,0.0,2.02,3.86,1.42,0.48,0.0,8.68,3.95
461199,SUN,Mundle,M,2.0,0.0,0.0,0.0,1.8,3.59,2.03,0.66,0.54,8.63,4.31
229384,WHU,Irving,M,2.1,1.19,0.69,0.63,0.91,1.96,1.54,0.77,0.92,8.6,4.1
218328,FUL,Chukwueze,M,2.8,2.05,1.22,1.97,0.0,0.0,1.28,0.94,1.09,8.55,3.05
501837,WOL,Mosquera,D,1.7,0.44,0.41,0.34,1.5,2.36,2.25,0.78,0.43,8.53,5.02
435973,BUR,Foster,F,2.6,2.33,1.14,1.26,0.0,0.0,1.36,0.98,1.46,8.53,3.28
231065,BRE,Pinnock,D,2.7,0.52,0.79,1.31,0.79,1.71,1.66,0.56,0.74,8.08,2.99
463981,BOU,Hill,D,2.0,0.79,0.7,0.7,1.09,1.38,1.5,0.7,0.67,7.52,3.76
218364,CRY,Sosa,D,3.4,0.0,0.0,1.2,1.15,2.05,1.43,0.85,0.63,7.32,2.15
194010,BRE,Henry,D,1.9,0.0,0.57,0.96,0.76,1.67,1.79,0.63,0.81,7.2,3.79
535818,SUN,Adingra,M,2.3,1.93,0.92,0.95,0.0,0.0,1.4,0.86,1.01,7.07,3.07
88894,AVL,Barkley,M,3.1,0.0,0.0,0.56,1.12,1.43,1.55,1.18,1.01,6.85,2.21
128295,ARS,Nørgaard,M,3.2,0.63,0.91,0.55,0.9,1.01,1.01,0.82,0.88,6.71,2.1
465527,BUR,Hannibal,M,2.4,1.49,0.85,0.92,0.0,0.0,1.2,0.71,1.16,6.33,2.64
519895,BUR,Sonne,D,2.0,0.54,0.45,0.58,0.68,1.71,1.29,0.42,0.6,6.28,3.14
444884,AVL,Elliott,M,3.1,0.0,0.0,0.0,0.9,1.28,1.41,1.24,1.16,5.98,1.93
15157,BHA,Milner,M,2.6,0.0,0.0,0.0,0.92,2.08,1.72,0.68,0.5,5.92,2.28
514356,CHE,Lavia,M,2.6,0.0,0.0,0.0,0.59,1.51,1.37,1.17,1.22,5.85,2.25
480455,EVE,Branthwaite,D,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.28,4.48,5.75,1.64
221399,LEE,Harrison,M,2.0,0.52,0.52,0.55,0.6,1.22,1.15,0.56,0.57,5.71,2.86
59949,EVE,Coleman,D,2.8,0.0,0.0,0.0,0.43,2.15,1.79,0.66,0.57,5.6,2.0
109345,BHA,March,M,2.5,0.0,0.0,0.0,1.0,1.46,1.65,0.79,0.67,5.57,2.23
461188,BUR,Humphreys,D,1.7,0.46,0.41,0.56,0.6,1.44,1.1,0.44,0.54,5.55,3.26
243571,EVE,Patterson,D,2.5,0.0,0.0,0.0,0.85,1.95,1.55,0.55,0.6,5.5,2.2
461195,SUN,Cirkin,D,2.0,0.0,0.0,0.0,1.32,2.89,1.28,0.0,0.0,5.49,2.75
577114,WHU,L.Guilherme,M,1.8,0.46,0.0,0.48,0.68,1.43,1.13,0.54,0.56,5.27,2.93
549074,BHA,Watson,M,2.3,2.71,1.72,0.81,0.0,0.0,0.0,0.0,0.0,5.24,2.28
167512,SUN,O'Nien,M,2.0,0.0,0.0,0.4,0.78,1.6,1.23,0.46,0.48,4.96,2.48
549329,BUR,Lucas Pires,D,2.3,0.0,0.37,0.44,0.54,1.31,1.07,0.4,0.53,4.65,2.02
437738,LEE,Bornauw,D,2.0,0.0,0.36,0.45,0.44,1.01,1.03,0.59,0.58,4.46,2.23
550090,BHA,Coppola,D,3.2,0.43,0.67,0.0,0.57,0.98,0.78,0.43,0.45,4.31,1.35
449027,LIV,Mamardashvili,G,3.5,0.0,0.0,0.0,0.41,1.03,0.89,0.77,0.7,3.8,1.09
215460,SUN,Poveda,M,2.0,0.0,0.0,0.0,1.07,2.21,0.49,0.0,0.0,3.78,1.89
210156,NFO,Awoniyi,F,2.1,0.0,0.97,0.69,0.0,0.0,0.0,0.81,1.29,3.76,1.79
105717,SUN,Masuaku,D,2.1,0.35,0.4,0.54,0.0,0.0,1.19,0.69,0.55,3.72,1.77
499300,EVE,Aznou,D,2.5,1.16,1.03,0.45,0.47,0.0,0.0,0.0,0.0,3.12,1.25
184667,AVL,Lindelöf,D,3.1,0.0,0.0,0.0,0.46,0.72,0.96,0.9,0.0,3.04,0.98
465680,NFO,Kalimuendo,F,2.6,1.84,1.15,0.0,0.0,0.0,0.0,0.0,0.0,2.98,1.15
499175,ARS,Nwaneri,M,3.1,1.59,1.09,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.86
608181,BHA,Tzimas,F,2.5,0.79,1.05,0.58,0.0,0.0,0.0,0.0,0.0,2.42,0.97
626464,BRE,Nunes,M,2.0,0.0,0.0,0.0,0.61,1.3,0.45,0.0,0.0,2.35,1.18
158983,LIV,Endo,M,3.5,0.6,1.05,0.48,0.0,0.0,0.0,0.0,0.0,2.13,0.61
606798,AVL,A.García,D,3.0,0.0,0.0,0.0,0.45,0.38,0.48,0.0,0.73,2.06,0.69
575458,NFO,Jair Cunha,D,2.5,0.6,0.88,0.0,0.0,0.46,0.0,0.0,0.0,1.94,0.78
