Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
NEW,Burn,D,5.0,2.75,2.99,3.63,3.06,2.2,2.13,3.22,2.56,3.21,2.85,2.75,31.35,92423,5.0
BUR,Cullen,M,4.6,2.89,2.96,2.75,2.96,2.79,2.98,2.82,2.7,2.89,2.59,2.98,31.32,3584337,4.6
AVL,McGinn,M,5.5,3.29,2.79,2.47,3.07,3.24,2.64,2.31,3.07,2.69,3.0,2.54,31.11,131333,5.5
CRY,Wharton,M,4.5,2.99,3.14,2.67,2.57,2.9,3.02,2.85,2.52,2.78,2.95,2.56,30.95,3763100,4.5
MCI,Rodrigo,M,6.0,0.0,0.0,2.11,3.2,3.95,3.43,3.88,3.41,3.61,3.48,3.88,30.94,132974,6.0
TOT,Solanke,F,7.5,0.0,0.74,2.53,3.33,3.07,2.99,3.26,4.35,3.07,3.76,3.76,30.86,230753,7.5
EVE,Keane,D,4.5,3.04,2.57,3.54,2.05,2.27,3.8,2.95,3.23,3.84,2.11,1.38,30.78,4353622,4.5
WHU,Summerville,M,5.0,1.47,2.84,2.68,2.91,2.49,3.05,2.99,2.92,3.05,2.82,3.51,30.74,3912182,5.0
NFO,Milenković,D,5.5,3.02,3.32,2.85,3.18,2.73,2.11,3.32,2.5,3.0,2.15,2.55,30.73,3893837,5.5
FUL,Kevin,M,6.0,2.76,2.45,2.73,2.98,3.17,3.11,2.71,2.59,2.6,2.8,2.62,30.51,4386936,6.0
BHA,F.Kadıoğlu,D,4.4,2.98,3.02,3.42,1.76,3.77,1.64,2.84,3.9,1.63,2.86,2.66,30.47,3943791,4.4
MUN,Dalot,D,5.0,2.21,3.33,2.88,2.69,2.67,2.97,3.99,2.94,3.42,1.92,1.43,30.45,242908,5.0
FUL,Tete,D,4.5,2.72,2.16,2.88,3.62,3.36,2.99,2.27,2.17,2.39,2.98,2.8,30.34,231155,4.5
NFO,Ndoye,M,6.5,3.12,3.05,2.75,3.05,2.66,2.51,2.83,2.55,2.77,2.22,2.68,30.2,4332525,6.5
AVL,Konsa,D,5.0,3.94,2.49,2.25,3.09,2.97,2.02,1.77,3.44,2.4,3.39,2.33,30.08,134708,5.0
NFO,N.Williams,D,5.0,3.19,3.1,2.77,3.03,2.66,2.12,3.26,2.38,2.98,2.2,2.37,30.06,156926,5.0
BOU,Senesi,D,4.5,3.66,3.08,2.35,2.33,4.03,2.55,1.89,2.14,3.2,2.41,2.29,29.93,2018115,4.5
NEW,Botman,D,5.0,1.19,2.43,3.79,3.09,2.3,2.22,3.34,2.62,3.21,2.91,2.76,29.86,1727421,5.0
AVL,Cash,D,5.0,4.02,2.55,2.23,3.08,2.9,1.97,1.67,3.29,2.42,3.35,2.33,29.82,181873,5.0
NFO,Wood,F,7.5,0.79,1.69,1.8,3.76,3.14,2.97,3.41,3.01,3.55,2.52,3.1,29.73,57345,7.5
CRY,Nketiah,F,5.5,2.04,2.44,1.96,1.71,3.51,3.83,3.55,2.69,3.04,2.92,1.91,29.59,76982,5.5
MUN,Casemiro,M,4.5,2.79,2.59,2.65,2.66,2.54,2.74,3.09,2.78,3.14,2.45,2.06,29.49,2170280,4.5
BOU,Adams,M,4.5,3.26,2.66,2.5,2.52,3.04,2.59,2.35,2.3,2.93,2.6,2.57,29.32,1783669,4.5
MUN,Mbeumo,M,9.0,4.3,5.11,4.46,4.36,0.0,0.0,0.0,2.15,2.67,3.1,3.09,29.25,192214,9.0
BHA,Mitoma,M,6.5,0.0,0.0,0.0,1.04,4.5,3.0,4.27,5.0,3.39,4.2,3.84,29.23,1783652,6.5
MCI,Cherki,M,7.0,2.8,2.31,3.18,2.07,3.25,2.59,3.04,2.27,2.59,2.14,2.81,29.06,4293359,7.0
NFO,Murillo,D,5.0,2.84,3.15,2.72,2.97,2.59,1.97,3.09,2.32,2.82,2.04,2.39,28.9,3651901,5.0
BRE,Ajer,D,4.5,3.74,1.44,2.24,3.09,2.77,2.52,2.68,2.34,3.27,1.55,2.75,28.39,234799,4.5
TOT,Romero,D,5.0,0.0,2.17,3.12,2.78,2.13,2.25,2.51,3.97,2.29,3.53,3.6,28.35,241952,5.0
LEE,Calvert-Lewin,F,5.5,2.08,2.45,2.5,2.75,2.73,3.15,2.25,2.82,2.4,2.71,2.48,28.32,4356042,5.5
