Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
MCI,Marmoush,F,8.0,2.47,2.03,3.01,2.04,0.0,0.0,0.0,1.57,1.95,1.93,2.93,17.93,4059073,8.0
MCI,Stones,D,5.5,1.85,1.23,2.08,1.13,1.95,1.5,1.9,1.28,1.65,1.3,2.02,17.88,23044,5.5
TOT,Bergvall,M,4.5,2.34,0.92,1.44,1.28,1.8,1.8,1.97,2.02,1.14,1.59,1.5,17.81,3879490,4.5
WHU,Mavropanos,D,4.5,-0.11,0.77,1.52,1.98,1.1,2.35,2.25,2.23,2.15,1.48,2.08,17.8,3646579,4.5
NFO,Douglas Luiz,M,5.0,0.0,0.0,0.0,0.97,2.4,2.44,2.74,2.32,2.61,2.02,2.28,17.79,4370994,5.0
FUL,Bassey,D,4.4,2.55,2.03,2.69,3.38,0.0,0.0,0.0,0.85,0.98,2.49,2.69,17.65,3629982,4.4
MCI,Aké,D,5.0,2.2,1.18,2.16,0.95,1.92,1.45,1.91,1.2,1.51,1.2,1.89,17.57,23346,5.0
WHU,Füllkrug,F,6.5,1.4,1.32,1.28,1.67,1.07,1.71,1.68,1.72,1.86,1.53,2.27,17.51,3914553,6.5
ARS,Nørgaard,M,5.0,0.0,1.92,1.45,2.39,1.59,1.87,1.98,1.36,1.26,1.67,2.02,17.49,192201,5.0
ARS,Mosquera,D,5.5,1.01,2.09,1.86,2.39,1.63,1.53,1.57,1.2,1.13,1.42,1.58,17.43,4323283,5.5
MCI,Aït-Nouri,D,6.0,2.37,2.19,3.18,1.91,0.0,0.0,0.0,1.37,1.74,1.63,2.87,17.25,187323,6.0
FUL,Robinson,D,5.0,0.0,0.0,0.0,1.31,2.82,2.54,1.99,1.8,1.94,2.43,2.14,16.97,231153,5.0
WHU,Diouf,D,4.5,1.9,2.07,2.03,2.68,0.0,0.0,0.0,1.36,1.5,1.86,3.51,16.9,4307742,4.5
BUR,Tchaouna,M,5.0,1.65,1.66,1.41,1.5,1.57,1.86,1.69,1.51,1.49,1.04,1.45,16.84,4293410,5.0
WHU,Walker-Peters,D,4.5,0.35,0.46,0.71,1.06,1.35,2.89,2.56,2.42,2.39,1.07,1.56,16.82,46637,4.5
ARS,White,D,6.0,0.85,1.79,1.38,2.03,1.49,1.64,1.71,1.28,1.23,1.52,1.72,16.64,176641,6.0
NFO,Igor Jesus,F,6.0,2.74,2.38,1.6,1.44,1.27,1.06,1.59,1.14,1.42,0.7,1.07,16.39,4297976,6.0
WHU,Wan-Bissaka,D,4.9,1.84,1.98,1.97,2.59,0.0,0.0,0.0,1.3,1.41,1.79,3.38,16.24,32948,4.9
ARS,Lewis-Skelly,D,5.5,0.79,1.74,1.3,1.93,1.39,1.64,1.72,1.19,1.14,1.47,1.79,16.1,3973402,5.5
MCI,Khusanov,D,5.0,1.84,1.1,1.98,0.91,1.73,1.3,1.7,1.12,1.38,1.11,1.78,15.95,4058397,5.0
CRY,Lerma,M,4.5,1.23,1.59,1.18,1.01,1.59,1.69,1.66,1.11,1.5,1.65,1.1,15.33,230744,4.5
CHE,Gittens,M,6.0,0.79,1.66,1.28,1.68,1.06,1.64,1.61,0.75,1.35,1.76,1.11,14.68,4297975,6.0
BRE,Hickey,D,4.0,1.79,0.36,1.05,1.75,1.41,1.36,1.47,1.26,1.99,0.66,1.56,14.67,1803646,4.0
AVL,Maatsen,D,5.0,1.89,1.06,0.86,1.62,1.69,0.87,0.67,1.8,1.06,1.84,1.08,14.44,3629422,5.0
BHA,Baleba,M,4.5,2.39,2.06,2.36,1.69,0.0,0.0,0.0,1.71,0.4,1.5,2.12,14.24,3651385,4.5
WOL,Agbadou,D,4.5,2.06,2.84,2.37,1.3,0.0,0.0,0.0,1.47,1.0,1.95,1.23,14.23,4051799,4.5
NEW,L.Miley,M,4.5,0.84,1.22,1.77,1.5,0.96,1.07,1.6,1.23,1.49,1.25,1.21,14.14,3709125,4.5
NEW,Ramsdale,G,5.0,0.82,1.27,1.92,1.43,0.81,0.83,1.54,1.19,1.62,1.24,1.32,14.01,140080,5.0
EVE,Dibling,M,5.0,0.83,1.0,1.47,0.52,1.59,2.04,1.57,1.35,1.56,0.79,1.23,13.96,3926400,5.0
BOU,Smith,D,4.5,1.75,1.74,1.13,1.12,2.24,1.16,0.7,0.79,1.41,1.01,0.85,13.9,230742,4.5
BOU,A.Jimenez,D,4.5,1.82,1.55,1.06,1.1,2.04,1.2,0.79,0.77,1.6,0.99,0.99,13.9,4386938,4.5
BHA,De Cuyper,D,4.5,1.13,1.58,2.13,0.55,2.03,0.28,1.45,2.09,0.35,1.29,0.96,13.83,4297977,4.5
NFO,Zinchenko,D,5.5,0.0,0.0,0.0,1.08,2.26,1.92,2.91,1.89,2.37,0.0,1.3,13.73,23148,5.5
WOL,S.Bueno,D,4.5,0.32,1.07,1.0,0.23,2.38,1.19,1.76,2.35,1.79,1.2,0.35,13.63,3651663,4.5
LEE,Longstaff,M,4.5,0.0,0.0,0.0,0.0,0.0,1.25,1.37,2.59,2.59,2.92,2.74,13.46,95817,4.5
AVL,Onana,M,4.5,1.45,0.94,0.82,1.47,1.57,1.07,0.9,1.57,1.14,1.45,1.03,13.41,2018116,4.5
FUL,Smith Rowe,M,6.0,0.7,0.59,0.99,1.57,1.82,1.73,1.31,1.06,1.1,1.35,1.08,13.31,197966,6.0
CHE,Acheampong,D,4.5,0.52,1.5,1.11,1.64,0.94,1.54,1.5,0.66,1.24,1.59,1.05,13.27,4049941,4.5
SUN,Sadiki,M,4.5,2.69,1.95,1.87,1.94,0.0,0.0,0.0,0.65,0.73,1.22,2.15,13.19,4297974,4.5
MUN,Maguire,D,4.5,0.0,1.45,1.35,1.37,1.17,1.31,1.92,1.43,1.88,0.86,0.44,13.17,23076,4.5
FUL,Diop,D,4.0,0.0,-0.13,0.7,1.29,2.86,2.53,1.96,0.94,1.12,1.07,0.75,13.08,88449,4.0
TOT,Johnson,M,7.1,1.31,0.75,1.5,1.17,0.89,0.54,0.8,2.09,0.55,1.68,1.72,13.01,230991,7.1
CHE,Tosin,D,5.0,0.47,1.46,1.08,1.56,0.92,1.47,1.48,0.59,1.35,1.58,1.0,12.97,231147,5.0
CRY,Devenny,M,4.5,0.0,1.85,0.75,0.24,1.67,1.85,1.78,0.89,1.34,1.64,0.58,12.57,4015014,4.5
EVE,Röhl,M,5.0,0.0,0.0,0.0,0.0,0.36,2.34,2.23,2.21,2.3,1.31,1.66,12.42,4386953,5.0
BRE,Jensen,M,4.5,1.73,-0.13,0.71,1.4,1.37,1.3,1.46,1.01,1.77,0.56,1.23,12.42,192210,4.5
CHE,Andrey Santos,M,4.5,0.72,1.63,1.21,1.48,0.77,1.37,1.3,0.48,1.02,1.45,0.81,12.23,2840080,4.5
LIV,Bradley,D,5.0,0.0,0.0,0.0,0.0,1.17,2.19,2.32,1.57,1.02,2.41,1.43,12.1,3744084,5.0
WOL,H.Bueno,D,4.5,0.78,1.38,1.15,0.39,1.9,0.85,1.44,1.72,1.25,0.96,0.27,12.09,2584318,4.5
WOL,Møller Wolfe,D,4.5,1.1,1.47,1.21,0.48,1.57,0.64,1.11,1.72,1.22,1.15,0.38,12.06,4338691,4.5
BRE,Janelt,M,4.5,1.66,0.02,0.68,1.3,1.32,1.25,1.39,1.03,1.65,0.57,1.18,12.06,192211,4.5
LEE,Gruev,M,4.5,2.12,2.07,1.9,1.14,1.27,1.22,0.24,0.74,0.06,0.66,0.45,11.86,4293428,4.5
EVE,McNeil,M,6.0,0.42,0.67,1.36,0.09,1.14,1.93,1.44,1.26,1.48,0.49,1.31,11.59,96761,6.0
LEE,Gnonto,M,5.5,0.27,0.84,1.01,1.14,1.27,1.58,0.64,1.43,0.9,1.34,1.1,11.53,4293433,5.5
TOT,P.M.Sarr,M,5.0,1.64,1.28,1.74,1.67,0.0,0.0,0.0,1.65,0.37,1.4,1.77,11.52,1783664,5.0
CRY,Hughes,M,4.5,0.92,1.35,0.74,0.49,1.31,1.42,1.37,0.68,1.14,1.33,0.68,11.43,45036,4.5
MUN,Ugarte,M,4.5,0.8,1.47,1.18,1.02,0.99,1.08,1.46,1.12,1.31,0.71,0.27,11.39,3947650,4.5
SUN,Traoré,M,5.0,2.21,1.71,1.58,1.82,0.0,0.0,0.0,0.59,0.58,1.17,1.65,11.32,4386989,5.0
TOT,Tel,M,6.0,1.24,0.68,1.3,0.84,0.46,0.35,0.58,2.02,0.57,1.6,1.64,11.29,4072115,6.0
FUL,Muniz,F,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.57,2.09,3.3,3.25,11.26,3556539,5.5
CRY,Canvot,D,4.0,0.96,1.47,0.8,0.46,1.2,1.28,1.31,0.63,1.14,1.39,0.63,11.25,4386946,4.0
TOT,Danso,D,4.5,3.1,-0.01,0.93,0.71,0.3,0.47,0.61,1.65,0.55,1.37,1.45,11.13,4069391,4.5
BUR,Bruun Larsen,M,5.0,0.73,0.86,0.77,1.07,1.08,1.45,1.21,0.85,1.13,0.67,1.17,10.98,4307739,5.0
NEW,Wissa,F,7.5,0.0,0.0,0.0,2.07,0.0,0.0,0.0,1.6,2.19,2.23,2.72,10.8,242911,7.5
FUL,Cairney,M,4.5,0.5,0.31,0.83,1.32,1.43,1.34,1.08,0.84,0.96,1.1,1.01,10.73,4356780,4.5
MUN,Mainoo,M,4.5,0.34,1.27,1.0,0.98,1.07,1.14,1.57,1.19,1.44,0.65,0.06,10.73,3715024,4.5
BHA,Boscagli,D,4.5,0.0,1.14,1.61,0.18,1.91,0.32,1.41,2.0,0.21,1.08,0.81,10.67,4293378,4.5
CHE,Hato,D,5.0,0.0,1.33,0.86,1.47,0.71,1.37,1.26,0.35,1.0,1.41,0.8,10.56,4338692,5.0
BOU,Enes Ünal,F,5.5,1.63,1.42,0.91,0.9,2.04,0.88,0.39,0.06,1.34,0.51,0.33,10.42,3763425,5.5
SUN,Reinildo,D,4.0,2.0,0.84,0.83,1.77,0.0,0.0,0.0,0.63,0.64,1.66,2.04,10.41,4297979,4.0
AVL,Sancho,M,6.0,1.55,0.62,0.29,1.27,0.0,1.0,0.73,1.58,0.92,1.45,0.84,10.26,228177,6.0
NFO,Yates,M,4.5,1.33,1.36,1.17,1.25,0.9,0.65,1.21,0.68,0.93,0.25,0.5,10.24,230985,4.5
WOL,Hoever,D,4.0,0.55,1.01,0.7,-0.13,2.15,1.06,1.55,1.54,1.03,0.84,-0.06,10.22,184652,4.0
NFO,Hutchinson,M,6.0,1.34,1.25,1.05,1.11,0.78,0.5,1.17,0.81,1.07,0.33,0.73,10.15,3879579,6.0
WOL,Tchatchoua,D,4.5,1.73,2.34,2.0,0.94,0.0,0.0,0.0,1.0,0.57,0.9,0.64,10.12,4364815,4.5
CRY,Clyne,D,4.0,0.0,1.58,0.91,0.55,1.18,1.21,1.2,0.48,1.07,1.31,0.58,10.07,189201,4.0
EVE,Gana,M,4.5,0.0,0.0,0.0,2.37,0.0,0.0,0.0,1.3,1.47,2.04,2.82,9.99,2268238,4.5
BHA,Veltman,D,4.5,0.59,1.12,1.57,0.16,1.78,0.01,1.19,1.8,0.11,0.91,0.7,9.94,177020,4.5
SUN,Diarra,M,5.0,0.0,0.18,0.99,2.57,0.0,0.0,0.0,0.9,0.84,1.91,2.52,9.91,4293456,5.0
NFO,Sangaré,M,4.5,2.24,2.26,2.03,1.56,0.0,0.0,0.0,0.27,0.52,0.04,0.85,9.77,3652441,4.5
CHE,B.Badiashile,D,5.0,0.03,1.31,0.77,1.46,0.57,1.31,1.22,0.08,0.95,1.37,0.71,9.77,2840078,5.0
BUR,Tuanzebe,D,4.0,1.41,1.71,1.16,2.02,0.0,0.0,0.0,0.3,0.58,0.63,1.81,9.63,3879559,4.0
AVL,Guessand,F,6.5,1.77,1.15,0.87,1.64,0.0,0.0,0.0,1.21,0.31,1.39,1.26,9.59,4348599,6.5
LIV,Mamardashvili,G,5.5,0.0,0.0,0.0,0.0,1.18,2.16,1.96,1.13,-0.21,2.46,0.9,9.58,4293350,5.5
AVL,Mings,D,5.0,1.32,0.47,0.4,1.14,1.15,0.46,0.35,1.4,0.78,1.32,0.7,9.48,131314,5.0
NFO,McAtee,M,5.5,1.15,1.21,0.97,1.08,0.75,0.48,1.16,0.63,1.03,0.26,0.59,9.31,3638859,5.5
SUN,Brobbey,F,6.5,0.58,0.09,0.04,0.6,1.17,1.79,1.05,0.97,0.99,0.98,0.88,9.14,4386948,6.5
FUL,Adama,M,5.5,0.39,0.06,0.81,1.4,1.52,1.34,0.91,0.5,0.53,0.87,0.7,9.04,3639047,5.5
BOU,Adli,M,6.0,1.97,1.69,1.31,1.24,0.0,0.0,0.0,-0.27,1.35,0.68,0.97,8.93,4370219,6.0
WOL,Tolu,F,6.0,1.21,1.55,1.47,0.76,0.0,0.0,0.0,1.14,0.58,1.08,1.0,8.79,4386956,6.0
TOT,Gray,M,4.5,0.75,-0.03,0.79,0.63,0.78,0.81,0.94,1.4,0.44,1.11,1.15,8.77,3879523,4.5
FUL,J.Cuenca,D,4.0,0.14,0.05,0.66,1.25,1.51,1.48,0.89,0.59,0.7,0.88,0.61,8.76,3912181,4.0
MUN,Mazraoui,D,4.5,0.94,1.7,1.33,1.15,0.0,0.0,0.0,1.03,1.41,0.61,0.32,8.5,3922520,4.5
WOL,Doherty,D,4.4,0.0,0.5,0.62,-0.12,1.81,0.91,1.37,1.51,1.08,0.81,-0.02,8.48,3628568,4.4
LEE,Bijol,D,4.5,-0.07,0.67,0.49,0.82,0.93,1.35,0.28,1.06,0.62,1.29,0.92,8.37,4293420,4.5
FUL,Castagne,D,4.5,0.19,0.05,0.74,1.33,1.26,1.16,0.71,0.47,0.66,0.93,0.77,8.27,182119,4.5
NFO,Morato,D,4.0,0.64,1.3,1.06,0.98,0.64,0.37,1.08,0.52,0.81,0.34,0.46,8.19,3947674,4.0
WHU,Igor,D,4.5,0.31,0.33,0.0,0.63,0.89,1.99,0.0,1.11,1.03,0.54,1.31,8.14,3629364,4.5
NEW,Trippier,D,5.0,0.0,0.0,0.0,0.0,0.0,0.46,1.62,1.25,1.76,1.48,1.48,8.05,278659,5.0
CRY,Sosa,D,4.5,0.0,0.0,0.0,0.18,1.2,1.38,1.32,0.29,1.2,1.66,0.49,7.73,4307737,4.5
BRE,Henry,D,4.5,0.0,0.0,0.3,1.3,0.91,0.77,1.02,0.66,1.67,-0.05,1.08,7.65,192195,4.5
BRE,Pinnock,D,4.5,0.0,-0.51,0.59,1.33,0.97,0.89,1.02,0.66,1.71,-0.15,1.1,7.61,192197,4.5
NFO,Dominguez,M,4.5,0.88,0.98,0.8,0.86,0.64,0.37,1.04,0.53,0.83,0.15,0.37,7.46,3652110,4.5
NFO,Aina,D,5.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.92,1.15,1.7,2.19,7.32,3628750,5.0
WHU,Scarles,D,4.0,0.0,0.0,0.0,0.0,0.0,0.94,1.3,1.19,1.6,0.82,1.43,7.29,4042029,4.0
BHA,Coppola,D,4.5,0.0,0.91,1.35,0.0,1.85,-0.87,0.86,1.77,0.0,0.71,0.39,6.98,4293377,4.5
BOU,Christie,M,5.0,0.0,0.0,0.0,0.0,0.0,0.78,0.72,1.01,1.76,1.28,1.37,6.91,258290,5.0
BOU,Hill,D,4.0,0.0,1.15,0.5,0.55,1.8,0.6,0.11,0.18,1.09,0.44,0.34,6.76,280848,4.0
BHA,March,M,5.5,0.0,0.0,0.0,0.0,2.07,-0.41,1.2,2.13,-0.17,1.07,0.7,6.59,45018,5.5
FUL,Chukwueze,M,5.0,0.8,0.57,1.09,1.63,0.0,0.0,0.0,0.02,0.3,1.01,1.03,6.46,4386935,5.0
BUR,Broja,F,5.0,0.26,0.37,0.16,0.64,0.7,0.95,0.88,0.58,0.78,0.23,0.67,6.21,242869,5.0
BHA,Milner,M,4.5,0.0,0.0,0.0,0.0,1.56,0.23,1.18,1.62,0.07,0.81,0.45,5.94,23117,4.5
CHE,Lavia,M,4.5,0.0,0.0,0.0,0.0,0.54,1.15,1.1,0.32,0.88,1.2,0.71,5.9,1783661,4.5
WHU,S.Magassa,M,4.5,-0.19,-0.02,0.26,0.5,0.35,0.85,1.15,0.71,0.77,0.3,1.19,5.89,4386444,4.5
SUN,Rigg,M,5.0,-0.2,-0.23,-0.57,0.0,1.81,2.2,1.7,0.56,0.5,0.1,0.0,5.87,4293463,5.0
WHU,Irving,M,4.5,-0.1,0.06,0.14,0.5,0.24,0.86,0.79,0.65,0.78,0.34,1.25,5.52,3651912,4.5
MUN,Malacia,D,4.0,0.0,0.0,0.0,0.0,0.73,0.93,1.46,0.78,1.39,0.0,0.0,5.29,1777193,4.0
LIV,Endo,M,4.5,0.0,2.24,1.51,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,3643150,4.5
WOL,Fer López,M,5.0,-0.23,0.69,0.56,-0.45,1.31,0.62,0.99,1.29,0.69,0.41,-0.71,5.16,4293394,5.0
AVL,Barkley,M,4.5,0.0,0.0,0.0,0.88,1.24,0.14,-0.08,1.21,0.43,1.15,0.18,5.15,3638248,4.5
SUN,Mayenda,F,6.0,-0.29,-0.82,-0.85,-0.1,1.45,1.95,1.39,0.71,0.64,0.57,0.42,5.07,4293468,6.0
EVE,Patterson,D,4.5,0.0,0.0,0.0,0.0,0.16,1.21,0.54,0.72,1.09,0.09,1.09,4.9,274923,4.5
BHA,Watson,M,4.5,1.11,1.66,1.94,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,4293379,4.5
LEE,Justin,D,4.5,-0.76,0.08,0.1,0.46,0.75,1.2,0.2,0.91,0.28,0.86,0.67,4.75,137292,4.5
EVE,Coleman,D,4.0,0.0,0.0,0.0,0.0,-0.57,1.24,0.75,0.83,1.14,0.26,1.09,4.74,23059,4.0
ARS,Nwaneri,M,6.0,1.05,2.03,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,3963752,6.0
EVE,Branthwaite,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,3.47,4.38,242875,4.5
SUN,Talbi,M,5.0,0.86,0.38,0.44,0.79,0.0,0.0,0.0,0.22,0.14,0.59,0.92,4.35,4307735,5.0
BRE,Onyeka,M,4.5,1.95,-0.57,0.45,1.23,0.0,0.0,0.0,0.35,0.0,-0.29,1.04,4.15,233401,4.5
SUN,Mundle,M,5.0,0.0,0.0,0.0,0.0,1.09,1.48,1.04,0.38,0.31,-0.01,-0.18,4.12,4293465,5.0
LEE,Piroe,F,6.0,-0.82,0.23,0.18,0.33,0.62,1.24,-0.06,0.81,0.1,0.84,0.48,3.96,4293436,6.0
BUR,Ekdal,D,4.0,-0.94,-0.29,-0.54,0.14,1.15,1.85,1.39,0.31,0.66,-0.37,0.03,3.38,3584351,4.0
NEW,Osula,F,5.0,0.0,0.0,0.0,0.0,0.69,0.7,1.95,0.0,0.0,0.0,0.0,3.34,3584389,5.0
AVL,Elliott,M,5.5,0.0,0.0,0.0,0.0,1.05,0.01,-0.28,1.15,0.26,1.06,0.05,3.3,241953,5.5
WHU,L.Guilherme,M,5.0,-0.59,0.0,0.0,0.34,-0.29,0.65,0.49,0.47,0.7,-0.1,1.54,3.21,3879499,5.0
BUR,Foster,F,5.5,0.53,0.63,0.43,0.87,0.0,0.0,0.0,-0.47,0.08,0.09,1.0,3.16,3584363,5.5
WOL,Mosquera,D,4.0,0.0,0.39,0.06,-1.3,1.2,0.44,0.85,1.17,0.61,0.38,-0.72,3.08,3737495,4.0
BHA,Kostoulas,M,5.0,0.0,1.24,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,4293381,5.0
BRE,Nunes,M,5.0,0.0,0.0,0.0,0.0,0.89,0.73,0.98,0.4,0.0,0.0,0.0,2.99,3946037,5.0
BHA,Tzimas,F,5.0,0.0,1.31,1.86,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,4293380,5.0
CHE,Buonanotte,M,5.0,0.0,1.59,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,2818757,5.0
TOT,Bissouma,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.24,2.43,90433,4.5
NFO,Kalimuendo,F,6.5,0.94,0.99,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,4363308,6.5
SUN,Neil,M,5.0,0.0,-0.77,-1.53,0.0,1.6,1.69,1.55,-0.01,-0.03,-0.29,0.0,2.21,4293458,5.0
BOU,Soler,D,4.5,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,4054393,4.5
BRE,Peart-Harris,M,4.5,0.0,0.0,0.0,0.0,0.0,0.85,1.15,0.0,0.0,0.0,0.0,2.0,4293390,4.5
CRY,Chadi Riad,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.4,1.92,3879497,4.5
NEW,Willock,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,1.81,84632,4.5
SUN,Cirkin,D,4.5,0.0,0.0,0.0,0.0,0.54,1.24,0.42,-0.27,-0.3,0.0,0.0,1.63,4293449,4.5
NFO,Jair Cunha,D,4.5,0.0,0.62,0.26,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,1.56,4307738,4.5
SUN,Adingra,M,5.5,0.46,0.03,0.0,0.38,0.0,0.0,0.0,-0.15,-0.17,0.28,0.53,1.35,1727418,5.5
NFO,Awoniyi,F,5.5,0.0,0.0,0.43,0.92,0.0,0.0,0.0,0.0,0.0,-0.58,0.48,1.25,1727417,5.5
MUN,Heaven,D,4.0,-0.11,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4111078,4.0
AVL,Bogarde,D,4.0,0.0,0.0,0.0,0.0,0.72,-0.62,0.0,0.99,0.0,0.0,0.0,1.09,3948113,4.0
BUR,Edwards,M,5.0,0.0,-0.44,-0.8,0.12,0.36,0.73,0.53,0.15,0.51,-0.35,0.27,1.08,4293409,5.0
MUN,Obi,F,5.0,0.49,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.97,4083701,5.0
SUN,Poveda,M,4.5,0.0,0.0,0.0,0.0,0.32,0.96,0.25,-0.76,0.0,0.0,0.0,0.77,4293467,4.5
AVL,Lindelöf,D,4.5,0.0,0.0,0.0,0.0,0.69,-0.65,-0.97,0.94,-0.13,0.89,0.0,0.77,4386952,4.5
WOL,R.Gomes,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.49,3879504,4.5
NEW,Krafth,D,4.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,139838,4.5
AVL,A.García,D,4.5,0.0,0.0,0.0,0.0,0.69,0.0,-0.97,0.97,0.0,0.0,-0.3,0.39,4060760,4.5
FUL,Reed,M,4.5,0.0,0.0,0.0,0.0,0.0,0.54,-0.16,0.0,0.0,0.0,0.0,0.38,231160,4.5
EVE,Aznou,D,4.0,0.18,0.16,0.99,-0.54,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4330835,4.0
LEE,Byram,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,4363540,4.5
TOT,Davies,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,23490,4.5
BOU,J.Araujo,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3922518,4.5
LEE,Meslier,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293415,4.5
SUN,Alese,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293447,4.0
BOU,Akinmboni,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4101873,4.0
NFO,Gunn,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4341209,4.5
AVL,Burrowes,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4383875,4.5
BUR,Delcroix,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3646515,4.0
CRY,Kporha,D,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4015330,4.0
NEW,Lascelles,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45072,4.5
BUR,Banel,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293408,4.5
SUN,Ba,M,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293462,4.5
BUR,Hladký,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293398,4.0
ARS,Dowman,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4372993,5.0
LIV,Ramsay,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293353,4.5
WHU,Hermansen,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3879516,4.5
LIV,Leoni,D,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4368737,5.0
SUN,Patterson,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293441,4.5
CHE,Marc Guiu,F,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3879488,5.0
CHE,Jörgensen,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3907764,5.0
TOT,Kinsky,G,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4050504,4.5
BRE,Carvalho,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231167,5.0
BRE,Balcombe,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293389,4.0
CRY,Uche,F,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4386949,5.0
BHA,Steele,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197282,4.0
BUR,Barnes,F,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293414,5.0
BOU,Dennis,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4054387,4.0
MUN,Heaton,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176811,4.0
WOL,Bentley,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911676,4.0
