fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
564940,WHU,S.Magassa,M,4.5,-0.19,-0.02,0.26,0.5,0.35,0.85,1.15,0.71,0.77,0.3,1.19,5.89,1.31
554197,SUN,Rigg,M,5.0,-0.2,-0.23,-0.57,0.0,1.81,2.2,1.7,0.56,0.5,0.1,0.0,5.87,1.17
229384,WHU,Irving,M,4.5,-0.1,0.06,0.14,0.5,0.24,0.86,0.79,0.65,0.78,0.34,1.25,5.52,1.23
222690,MUN,Malacia,D,4.0,0.0,0.0,0.0,0.0,0.73,0.93,1.46,0.78,1.39,0.0,0.0,5.29,1.32
158983,LIV,Endo,M,4.5,0.0,2.24,1.51,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,1.16
643135,WOL,Fer López,M,5.0,-0.23,0.69,0.56,-0.45,1.31,0.62,0.99,1.29,0.69,0.41,-0.71,5.16,1.03
88894,AVL,Barkley,M,4.5,0.0,0.0,0.0,0.88,1.24,0.14,-0.08,1.21,0.43,1.15,0.18,5.15,1.14
564406,SUN,Mayenda,F,6.0,-0.29,-0.82,-0.85,-0.1,1.45,1.95,1.39,0.71,0.64,0.57,0.42,5.07,0.84
243571,EVE,Patterson,D,4.5,0.0,0.0,0.0,0.0,0.16,1.21,0.54,0.72,1.09,0.09,1.09,4.9,1.09
549074,BHA,Watson,M,4.5,1.11,1.66,1.94,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,1.08
220627,LEE,Justin,D,4.5,-0.76,0.08,0.1,0.46,0.75,1.2,0.2,0.91,0.28,0.86,0.67,4.75,1.06
59949,EVE,Coleman,D,4.0,0.0,0.0,0.0,0.0,-0.57,1.24,0.75,0.83,1.14,0.26,1.09,4.74,1.18
499175,ARS,Nwaneri,M,6.0,1.05,2.03,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.78
480455,EVE,Branthwaite,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,3.47,4.38,0.97
549912,SUN,Talbi,M,5.0,0.86,0.38,0.44,0.79,0.0,0.0,0.0,0.22,0.14,0.59,0.92,4.35,0.87
428580,BRE,Onyeka,M,4.5,1.95,-0.57,0.45,1.23,0.0,0.0,0.0,0.35,0.0,-0.29,1.04,4.15,0.92
461199,SUN,Mundle,M,5.0,0.0,0.0,0.0,0.0,1.09,1.48,1.04,0.38,0.31,-0.01,-0.18,4.12,0.82
235826,LEE,Piroe,F,6.0,-0.82,0.23,0.18,0.33,0.62,1.24,-0.06,0.81,0.1,0.84,0.48,3.96,0.66
478969,BUR,Ekdal,D,4.0,-0.94,-0.29,-0.54,0.14,1.15,1.85,1.39,0.31,0.66,-0.37,0.03,3.38,0.84
538207,NEW,Osula,F,5.0,0.0,0.0,0.0,0.0,0.69,0.7,1.95,0.0,0.0,0.0,0.0,3.34,0.67
444884,AVL,Elliott,M,5.5,0.0,0.0,0.0,0.0,1.05,0.01,-0.28,1.15,0.26,1.06,0.05,3.3,0.6
