fpl_code,team,player,pos,cost,2025-11-29T15:00:00Z,2025-11-29T17:30:00Z,2025-11-29T20:00:00Z,2025-11-30T12:00:00Z,2025-11-30T14:05:00Z,2025-11-30T16:30:00Z,2025-12-02T19:30:00Z,2025-12-02T20:15:00Z,2025-12-03T19:30:00Z,2025-12-03T20:15:00Z,2025-12-04T20:00:00Z,2025-12-06T12:30:00Z,2025-12-06T15:00:00Z,2025-12-06T17:30:00Z,2025-12-07T14:00:00Z,2025-12-07T16:30:00Z,2025-12-08T20:00:00Z,2025-12-13T15:00:00Z,2025-12-13T17:30:00Z,2025-12-13T20:00:00Z,2025-12-14T14:00:00Z,2025-12-14T16:30:00Z,2025-12-15T20:00:00Z,2025-12-16T20:00:00Z,2025-12-17T19:30:00Z,2025-12-17T20:15:00Z,2025-12-20T12:30:00Z,2025-12-20T15:00:00Z,2025-12-20T17:30:00Z,2025-12-20T20:00:00Z,2025-12-21T16:30:00Z,2025-12-22T20:00:00Z,2025-12-23T20:00:00Z,2025-12-26T20:00:00Z,2025-12-27T12:30:00Z,2025-12-27T15:00:00Z,2025-12-27T17:30:00Z,2025-12-28T14:00:00Z,2025-12-28T16:30:00Z,2025-12-30T19:30:00Z,2025-12-30T20:15:00Z,2026-01-01T17:30:00Z,2026-01-01T20:00:00Z,2026-01-03T12:30:00Z,2026-01-03T15:00:00Z,2026-01-03T17:30:00Z,2026-01-04T12:30:00Z,2026-01-04T15:00:00Z,2026-01-04T17:30:00Z,2026-01-06T20:00:00Z,2026-01-07T19:30:00Z,2026-01-07T20:15:00Z,2026-01-08T20:00:00Z,2026-01-17T12:30:00Z,2026-01-17T15:00:00Z,2026-01-17T17:30:00Z,2026-01-18T14:00:00Z,2026-01-18T16:30:00Z,2026-01-19T20:00:00Z,2026-01-24T12:30:00Z,2026-01-24T15:00:00Z,2026-01-24T17:30:00Z,2026-01-25T14:00:00Z,2026-01-25T16:30:00Z,2026-01-26T20:00:00Z,total_pts,ppm
502500,BRE,Thiago,F,3.6,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,1.64,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,3.46,0.0,0.0,4.85,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,45.22,12.56
462424,ARS,Saliba,D,4.6,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,4.21,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,3.33,0.0,0.0,3.83,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,44.77,9.73
477424,MCI,Gvardiol,D,4.6,4.39,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,3.15,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,3.01,0.0,3.45,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,43.18,9.39
178186,WHU,Bowen,M,5.5,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,42.27,7.69
247348,CRY,Muñoz,D,3.7,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,3.93,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,42.24,11.42
208706,NEW,Bruno G.,M,4.2,0.0,3.54,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,2.94,3.17,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,42.22,10.05
98747,NEW,Pope,G,4.1,0.0,3.46,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,1.99,3.51,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,42.16,10.28
437730,BOU,Semenyo,M,3.1,3.94,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,3.52,0.0,0.0,0.0,41.87,13.51
200720,BRE,Kelleher,G,3.1,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,1.36,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,3.37,0.0,0.0,4.14,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,41.64,13.43
470313,NEW,Woltemade,F,4.5,0.0,3.42,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,1.79,3.33,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,41.59,9.24
116535,LIV,A.Becker,G,4.6,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,3.77,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,2.85,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,41.57,9.04
172649,CRY,Henderson,G,3.1,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,3.73,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,41.36,13.34
513418,BRE,Schade,M,3.3,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,2.34,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,3.14,0.0,0.0,4.39,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,41.32,12.52
