fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
490094,EVE,Iroegbunam,M,6.8,2.2,0.0,1.77,0.0,0.0,1.79,0.0,0.0,1.48,0.0,0.0,1.93,0.0,0.0,0.0,2.02,0.0,1.87,0.0,0.0,1.59,0.0,1.73,0.0,0.0,1.16,0.0,0.0,0.0,1.09,18.64,2.74
91889,WHU,Füllkrug,F,9.3,0.0,1.68,0.0,0.0,1.53,0.0,1.53,0.0,0.0,1.69,0.0,1.48,0.0,0.0,0.0,1.69,0.0,1.76,0.0,1.72,0.0,1.81,0.0,0.0,1.72,0.0,0.0,1.97,0.0,0.0,18.58,2.0
214590,WHU,Wan-Bissaka,D,7.7,0.0,2.03,0.0,0.0,2.25,0.0,2.3,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,1.45,0.0,0.0,2.1,0.0,0.0,3.99,0.0,0.0,18.49,2.4
215439,WHU,Souček,M,7.7,0.0,1.55,0.0,0.0,1.4,0.0,1.5,0.0,0.0,1.59,0.0,1.62,0.0,0.0,0.0,1.8,0.0,1.91,0.0,1.75,0.0,1.76,0.0,0.0,1.62,0.0,0.0,1.96,0.0,0.0,18.47,2.4
209046,NFO,Hudson-Odoi,M,7.6,0.0,2.53,0.0,2.23,0.0,1.74,0.0,0.0,0.0,1.67,0.0,0.0,0.0,1.48,0.0,1.47,0.0,1.56,0.0,1.47,0.0,1.62,0.0,0.0,1.25,0.0,0.0,0.0,1.44,0.0,18.46,2.43
247693,TOT,Kolo Muani,F,8.3,2.2,0.0,1.96,0.0,0.0,1.97,0.0,0.0,0.0,1.59,0.0,1.41,0.0,0.0,0.0,0.0,1.43,0.0,1.45,0.0,1.75,0.0,1.42,0.0,1.65,0.0,0.0,1.59,0.0,0.0,18.43,2.22
169528,FUL,Robinson,D,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,3.02,0.0,2.86,0.0,0.0,2.26,0.0,2.09,0.0,2.2,0.0,2.73,0.0,0.0,2.35,0.0,0.0,18.39,2.33
167887,BUR,Laurent,M,6.9,1.15,0.0,0.0,1.22,0.0,1.27,0.0,0.0,1.3,0.0,0.0,2.12,0.0,0.0,0.0,2.21,0.0,2.22,0.0,1.89,0.0,0.0,1.98,0.0,1.41,0.0,0.0,1.38,0.0,0.0,18.15,2.63
476887,NFO,Bakwa,M,7.2,0.0,0.46,0.0,0.81,0.0,1.09,0.0,0.0,0.0,2.28,0.0,0.0,0.0,2.05,0.0,2.0,0.0,2.24,0.0,1.74,0.0,2.11,0.0,0.0,1.5,0.0,0.0,0.0,1.83,0.0,18.1,2.51
119471,NEW,Schär,D,8.0,1.69,0.0,1.73,0.0,0.0,2.0,0.0,0.0,0.0,1.62,0.0,1.34,0.0,0.0,1.31,0.0,0.0,1.69,0.0,0.0,1.53,0.0,1.81,0.0,0.0,1.72,0.0,0.0,1.58,0.0,18.01,2.25
