fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
503714,BUR,Ugochukwu,M,5.0,2.07,2.12,1.96,2.15,2.14,2.29,2.2,2.1,2.2,1.86,2.13,23.2,4.64
221820,MUN,Martinez,D,4.8,0.0,0.57,1.26,2.1,2.29,2.76,3.67,3.02,3.43,2.1,1.88,23.07,4.81
486385,EVE,Beto,F,5.1,2.05,1.91,2.1,1.79,1.71,2.62,2.03,2.36,2.3,1.85,2.27,23.0,4.51
493250,MUN,Amad,M,6.3,3.37,3.98,3.52,3.48,0.0,0.0,0.0,1.66,1.74,2.45,2.41,22.63,3.59
232859,TOT,Spence,D,4.5,2.3,1.64,1.81,2.09,1.72,1.76,1.89,2.25,1.79,2.54,2.71,22.5,5.0
532529,BHA,Hinshelwood,M,5.1,1.24,1.77,2.45,1.57,3.01,1.97,2.55,2.67,1.87,1.7,1.48,22.29,4.37
204646,AVL,Malen,M,5.1,3.57,1.55,1.36,1.97,2.68,1.91,1.44,2.3,1.88,2.0,1.61,22.26,4.36
514254,BHA,Gomez,M,4.9,2.56,2.6,2.82,1.93,2.28,1.37,1.9,2.04,1.49,1.66,1.49,22.14,4.52
58621,BUR,Walker,D,4.4,1.98,2.11,1.64,2.48,1.75,2.54,2.01,1.71,2.16,1.24,2.38,22.0,5.0
427637,LEE,Aaronson,M,5.4,2.26,2.37,2.24,2.12,2.29,2.07,1.68,1.98,1.61,1.72,1.62,21.97,4.07
485711,MUN,Šeško,F,7.2,0.0,0.0,0.0,1.03,2.71,3.22,3.66,3.13,3.35,2.68,2.11,21.9,3.04
75115,WHU,Wilson,F,5.8,1.93,2.01,1.8,1.97,1.6,1.94,1.94,1.97,2.08,1.86,2.5,21.61,3.73
111317,BOU,Brooks,M,5.0,3.08,2.44,2.26,1.85,2.57,1.76,1.48,1.34,1.82,1.44,1.47,21.52,4.3
463034,CHE,Delap,F,6.2,2.03,2.43,2.14,1.91,1.75,1.86,2.08,1.51,1.82,2.09,1.69,21.31,3.44
596777,MUN,Dorgu,D,4.2,1.22,1.4,1.47,1.16,2.43,2.51,3.55,2.3,2.9,1.28,0.88,21.09,5.02
200641,BRE,Nelson,M,4.8,1.01,0.0,1.27,1.54,3.36,3.28,3.44,1.85,2.54,1.36,1.41,21.06,4.39
233963,WHU,Mavropanos,D,4.4,0.47,0.96,1.84,2.16,1.59,2.69,2.79,2.43,2.25,1.7,1.97,20.84,4.74
513433,BHA,Gruda,M,5.4,1.48,2.15,2.92,1.79,2.28,1.32,1.92,2.25,1.43,1.75,1.54,20.84,3.86
550839,TOT,Odobert,M,5.3,2.72,2.16,2.14,1.92,1.7,1.49,1.56,1.91,1.42,1.9,1.81,20.74,3.91
465694,MCI,N.Gonzalez,M,5.9,3.34,2.83,2.96,1.37,1.51,1.36,1.47,1.31,1.43,1.39,1.53,20.49,3.47
222683,BOU,Kluivert,M,7.0,0.0,0.0,0.0,1.05,2.6,3.02,2.56,2.39,3.31,2.8,2.74,20.47,2.92
174594,LEE,Nmecha,F,5.0,2.24,2.35,1.85,1.72,1.81,2.0,1.45,1.78,1.58,1.84,1.7,20.32,4.06
502697,EVE,Alcaraz,M,5.2,1.41,2.15,2.43,1.21,2.11,2.67,2.24,1.75,1.82,1.25,1.2,20.23,3.89
200617,LEE,James,M,5.3,1.73,2.28,1.93,1.82,1.87,1.97,1.46,1.83,1.55,1.95,1.76,20.15,3.8
560262,BOU,Kroupi.Jr,F,4.6,2.18,2.07,1.99,1.9,2.6,1.7,1.54,1.24,1.86,1.54,1.44,20.05,4.36
232892,FUL,Bassey,D,4.5,3.01,2.43,3.04,3.72,0.0,0.0,0.0,1.02,1.09,2.69,3.03,20.03,4.45
490094,EVE,Iroegbunam,M,4.9,2.4,1.88,2.0,1.51,2.02,2.2,2.04,1.72,1.94,1.18,1.14,20.03,4.09
500151,NFO,Savona,D,4.5,3.15,3.4,2.95,1.65,2.02,1.13,1.93,1.01,1.03,1.02,0.49,19.8,4.4
620487,BOU,Milosavljević,D,4.5,1.16,2.54,1.81,1.69,2.93,1.41,1.52,1.72,2.12,1.36,1.35,19.6,4.36
433312,WOL,Munetsi,M,5.4,2.9,3.28,3.33,2.4,0.0,0.0,0.0,1.54,1.2,2.34,2.47,19.46,3.6
445044,TOT,Kulusevski,M,6.4,0.0,0.0,0.0,0.0,1.07,2.57,2.82,3.57,2.72,3.33,3.26,19.35,3.02
214590,WHU,Wan-Bissaka,D,4.2,2.56,2.5,2.52,3.07,0.0,0.0,0.0,1.35,1.4,2.08,3.73,19.21,4.57
249231,BRE,Lewis-Potter,D,4.8,1.32,0.96,1.24,1.63,2.78,2.18,2.65,1.58,2.2,1.08,1.45,19.08,3.97
550864,MUN,Yoro,D,4.4,2.21,2.98,2.4,1.49,1.64,1.32,1.91,1.37,1.78,1.0,0.88,18.98,4.31
167887,BUR,Laurent,M,4.9,1.14,1.25,1.23,1.35,2.24,2.39,2.37,1.93,2.11,1.39,1.4,18.81,3.84
544877,LIV,Kerkez,D,5.7,1.79,2.13,1.73,1.68,1.56,1.94,1.76,1.45,1.09,2.22,1.32,18.68,3.28
493105,CHE,Garnacho,M,6.4,1.62,2.06,1.85,1.68,1.48,1.66,1.76,1.35,1.59,1.78,1.58,18.42,2.88
469272,BUR,Tchaouna,M,4.9,1.79,1.81,1.6,1.61,1.72,1.91,1.8,1.7,1.6,1.31,1.54,18.39,3.75
476887,NFO,Bakwa,M,5.9,0.43,0.77,1.04,2.37,2.1,1.98,2.35,1.74,2.15,1.49,1.81,18.24,3.09
613804,WHU,Diouf,D,4.3,2.31,2.32,2.29,2.9,0.0,0.0,0.0,1.34,1.44,1.99,3.62,18.2,4.23
